state_name,district_name,block_tehsil_name,village_name,s_no_of_scheme,ref_scheme_type_surface_flow_name,ref_scheme_type_surface_lift_name,ref_scheme_owner_name,total_owners_holding,ref_scheme_owner_social_status_name,gender_name,commissioning_period_display,scheme_construction_cost,scheme_machinery_cost,scheme_maintainence_cost,finance_source_name,finance_source_name2,construction_subsidy,machinery_subsidy,scheme_status_name,not_in_use_years,scheme_status_reason_temporarily_name,scheme_status_reason_permanently_name,water_distribution_method_name,lifting_device_type_name,lifting_device_enrgy_source_name,horse_power_of_lifting_device,pump_operating_days_kharif_season,pump_operating_days_rabi_season,pump_operating_days_perennial_season,pump_operating_days_other_season,avg_pumping_per_day_kharif_season,avg_pumping_per_day_rabi_season,avg_pumping_per_day_perennial_season,avg_pumping_per_day_other_season,ref_selection_id_located_in_major_medium_scheme_name,command_area_name,ref_reason_command_area_name,ref_scheme_recharge_of_ground_water_name,culturable_command_area,ipc_kharif_season,ipc_rabi_season,ipc_perennial_season,ipc_other_season,ipc_total,ipu_kharif_season,ipu_rabi_season,ipu_perennial_season,ipu_other_season,ipu_total,ref_selection_id_under_utilisation_name,ref_reason_for_under_utilisation_name,scheme_designed_storage,ref_filled_up_storage_name,ref_filled_up_storage_space_name,villages_covered,s_no_scheme_within_village_in_water_body,total_no_of_schemes_in_village_above_water_body
RAJASTHAN,AJMER,TANTOTI,TANTOTI,4,NA,On-Stream,Panchayat Owned,NA,NA,NA,Up to 2013-2014,60000,310000,0,NA,NA,0,0,Temporarily Not in use,2,Storage not filled up fully,NA,Surface pipe, Centrifugal Pump,Diesel,6,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,70,15,65,0,0,80,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0
RAJASTHAN,AJMER,TANTOTI,SARANA,2,NA,On-Stream,Panchayat Owned,NA,NA,NA,Up to 2013-2014,1055000,225000,0,NA,NA,0,0,Temporarily Not in use,2,Storage not filled up fully,NA,Open Water Channel (unlined / Kutcha), Centrifugal Pump,Diesel,3,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,50,20,30,0,0,50,0,0,0,0,0,NA,NA,NA,NA,NA,1,2,0
RAJASTHAN,AJMER,TANTOTI,SARANA,5,NA,On-Stream,Panchayat Owned,NA,NA,NA,Up to 2013-2014,65000,15000,0,NA,NA,0,0,Temporarily Not in use,0,Storage not filled up fully,NA,Surface pipe, Centrifugal Pump,Diesel,4,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,2.8,0.8,2,0,0,2.8,0,0,0,0,0,NA,NA,NA,NA,NA,1,5,0
RAJASTHAN,AJMER,TANTOTI,KESARPURA,1,NA,On-Stream,Govt. Owned,NA,NA,NA,Up to 2013-2014,0,150000,0,NA,NA,0,0,Temporarily Not in use,2,Storage not filled up fully,NA,Surface pipe, Centrifugal Pump,Diesel,4.5,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,25,5,25,0,0,30,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,0
RAJASTHAN,AJMER,TANTOTI,SARANA,6,NA,On-Stream,Panchayat Owned,NA,NA,NA,Up to 2013-2014,1570000,205000,0,NA,NA,0,0,Temporarily Not in use,0,Storage not filled up fully,NA,Open Water Channel (unlined / Kutcha), Centrifugal Pump,Diesel,4,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,60,15,45,0,0,60,0,0,0,0,0,NA,NA,NA,NA,NA,1,6,0
RAJASTHAN,AJMER,TANTOTI,SARANA,4,NA,On-Stream,Panchayat Owned,NA,NA,NA,Up to 2013-2014,1030000,60000,0,NA,NA,0,0,Temporarily Not in use,0,Storage not filled up fully,NA,Open Water Channel (unlined / Kutcha), Centrifugal Pump,Diesel,3,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,5,2,3,0,0,5,0,0,0,0,0,NA,NA,NA,NA,NA,1,4,0
RAJASTHAN,AJMER,TANTOTI,KESARPURA,2,NA,On-Stream,Panchayat Owned,NA,NA,NA,Up to 2013-2014,530000,60000,0,NA,NA,0,0,Temporarily Not in use,2,Storage not filled up fully,NA,Surface pipe, Centrifugal Pump,Diesel,4.5,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,6.02,2,6,0,0,8,0,0,0,0,0,NA,NA,NA,NA,NA,1,2,0
RAJASTHAN,AJMER,TANTOTI,TANTOTI,2,NA,On-Stream,Panchayat Owned,NA,NA,NA,Up to 2013-2014,1067000,200000,0,NA,NA,0,0,Permanently Not in use,3,NA,Due to salinity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,No,40,0,40,0,0,40,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA
RAJASTHAN,BANSWARA,KUSHALGARH,BHAAT MAHUDI,3,NA,Others,Others,NA,NA,NA,Up to 2013-2014,0,48000,0,NA,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,90,0,0,NA,6,NA,NA,Yes,NA,NA,No,3,0,3,0,0,3,0,3,0,0,3,No,NA,NA,NA,NA,1,NA,NA
RAJASTHAN,BANSWARA,KUSHALGARH,BHAAT MAHUDI,4,NA,Others,Others,NA,NA,NA,During 2016-2017,200000,51000,0,NA,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,80,0,0,NA,6,NA,NA,Yes,NA,NA,No,4,0,4,0,0,4,0,4,0,0,4,No,NA,NA,NA,NA,1,NA,NA
